date,open,high,low,close,volume,adj_close,200_dma,200_dma_pct_diff,200_dma_top_band,200_dma_bot_band,60_dma,60_dma_pct_diff,60_dma_top_band,60_dma_bot_band,20_dma,20_dma_pct_diff,20_dma_top_band,20_dma_bot_band,200_vma,200_vma_pct_diff,200_vma_top_band,200_vma_bot_band,60_vma,60_vma_pct_diff,60_vma_top_band,60_vma_bot_band,20_vma,20_vma_pct_diff,20_vma_top_band,20_vma_bot_band
2010-03-29,2403.77,2411.18,2398.40,2404.36,1967850000,2404.36,2113.59,0.14,2219.27,2007.91,2274.35,0.06,2388.07,2160.63,2355.93,0.02,2473.73,2238.13,2197497500.00,-0.10,2307372375.00,2087622625.00,2324723666.67,-0.15,2440959850.00,2208487483.33,2423587000.00,-0.19,2544766350.00,2302407650.00
2010-03-26,2406.73,2412.92,2384.69,2395.13,2367930000,2395.13,2110.88,0.13,2216.43,2005.34,2272.57,0.05,2386.20,2158.94,2348.09,0.02,2465.49,2230.68,2197397200.00,0.08,2307267060.00,2087527340.00,2304886666.67,0.03,2420131000.00,2189642333.33,2419362000.00,-0.02,2540330100.00,2298393900.00
2010-03-25,2415.24,2432.25,2397.36,2397.41,2704870000,2397.41,2108.20,0.14,2213.61,2002.79,2270.80,0.06,2384.34,2157.26,2339.93,0.02,2456.92,2222.93,2194574700.00,0.23,2304303435.00,2084845965.00,2280341000.00,0.19,2394358050.00,2166323950.00,2399145000.00,0.13,2519102250.00,2279187750.00
2010-03-24,2406.72,2408.64,2396.92,2398.76,2436100000,2398.76,2105.42,0.14,2210.69,2000.15,2268.92,0.06,2382.36,2155.47,2331.78,0.03,2448.37,2215.19,2192259100.00,0.11,2301872055.00,2082646145.00,2250283500.00,0.08,2362797675.00,2137769325.00,2385130500.00,0.02,2504387025.00,2265873975.00
2010-03-23,2397.90,2416.51,2390.04,2415.24,2465230000,2415.24,2102.59,0.15,2207.72,1997.46,2266.49,0.07,2379.81,2153.17,2321.69,0.04,2437.78,2205.61,2191485900.00,0.12,2301060195.00,2081911605.00,2235578000.00,0.10,2347356900.00,2123799100.00,2377414500.00,0.04,2496285225.00,2258543775.00
2010-03-22,2360.35,2401.21,2358.00,2395.40,2448130000,2395.40,2099.86,0.14,2204.85,1994.87,2264.11,0.06,2377.32,2150.91,2314.03,0.04,2429.73,2198.32,2191589450.00,0.12,2301168922.50,2082009977.50,2223512500.00,0.10,2334688125.00,2112336875.00,2353822500.00,0.04,2471513625.00,2236131375.00
2010-03-19,2391.20,2396.92,2364.53,2374.41,3055760000,2374.41,2097.12,0.13,2201.97,1992.26,2261.83,0.05,2374.92,2148.74,2307.50,0.03,2422.87,2192.12,2187545400.00,0.40,2296922670.00,2078168130.00,2202730333.33,0.39,2312866850.00,2092593816.67,2309367500.00,0.32,2424835875.00,2193899125.00
2010-03-18,2387.54,2393.87,2383.26,2391.28,2173060000,2391.28,2094.35,0.14,2199.06,1989.63,2258.84,0.06,2371.78,2145.90,2300.02,0.04,2415.02,2185.02,2189738550.00,-0.01,2299225477.50,2080251622.50,2213986166.67,-0.02,2324685475.00,2103286858.33,2304555500.00,-0.06,2419783275.00,2189327725.00
2010-03-17,2381.65,2400.09,2381.47,2389.09,2281410000,2389.09,2091.54,0.14,2196.12,1986.97,2255.35,0.06,2368.12,2142.59,2291.88,0.04,2406.47,2177.29,2191333200.00,0.04,2300899860.00,2081766540.00,2207710000.00,0.03,2318095500.00,2097324500.00,2295661500.00,-0.01,2410444575.00,2180878425.00
2010-03-16,2367.32,2378.84,2360.67,2378.01,2201880000,2378.01,2088.52,0.14,2192.95,1984.10,2252.50,0.06,2365.13,2139.88,2283.69,0.04,2397.87,2169.50,2192650350.00,0.00,2302282867.50,2083017832.50,2204719333.33,-0.00,2314955300.00,2094483366.67,2289210000.00,-0.04,2403670500.00,2174749500.00
